1621558261.965935,s2-eth1,5881444.00,65208.00,5946652.00,65208,5881444,1070.00,988.00,2058.00,988,1070,0.00,0.00,0,0
1621558261.965982,s1-eth1,5899018.00,65142.00,5964160.00,65142,5899018,1073.00,987.00,2060.00,987,1073,0.00,0.00,0,0
1621558261.966017,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558261.966044,s2-eth2,65142.00,5899018.00,5964160.00,5899018,65142,987.00,1073.00,2060.00,1073,987,0.00,0.00,0,0
1621558261.966078,s1-eth2,65208.00,5881444.00,5946652.00,5881444,65208,988.00,1070.00,2058.00,1070,988,0.00,0.00,0,0
1621558261.966164,total,17874840.00,17857332.00,35732172.00,17857332,17874840,6176.00,6174.00,12350.00,6174,6176,0.00,0.00,0,0
1621558262.966564,lo,3348.00,3348.00,6696.00,3348,3348,18.00,18.00,36.00,18,18,0.00,0.00,0,0
1621558262.966649,s3-eth1,5815672.00,64578.00,5880250.00,64578,5815672,1059.00,975.00,2034.00,975,1059,0.00,0.00,0,0
1621558262.966703,s3-eth2,64578.00,5803776.00,5868354.00,5803776,64578,975.00,1056.00,2031.00,1056,975,0.00,0.00,0,0
1621558262.966779,s2-eth1,5809994.00,64332.00,5874326.00,64332,5809994,1059.00,973.00,2032.00,973,1059,0.00,0.00,0,0
1621558262.966822,s1-eth1,5829262.00,64152.00,5893414.00,64152,5829262,1064.00,972.00,2036.00,972,1064,0.00,0.00,0,0
1621558262.966853,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558262.966878,s2-eth2,64578.00,5817186.00,5881764.00,5817186,64578,975.00,1060.00,2035.00,1060,975,0.00,0.00,0,0
1621558262.966909,s1-eth2,64332.00,5809994.00,5874326.00,5809994,64332,973.00,1059.00,2032.00,1059,973,0.00,0.00,0,0
1621558262.966940,total,17651764.00,17627366.00,35279128.00,17627366,17651764,6123.00,6113.00,12236.00,6113,6123,0.00,0.00,0,0
1621558263.967159,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558263.967232,s3-eth1,5828722.00,64218.00,5892940.00,64218,5828722,1061.00,973.00,2034.00,973,1061,0.00,0.00,0,0
1621558263.967281,s3-eth2,64398.00,5828722.00,5893120.00,5828722,64398,974.00,1061.00,2035.00,1061,974,0.00,0.00,0,0
1621558263.967358,s2-eth1,5840438.00,64152.00,5904590.00,64152,5840438,1063.00,972.00,2035.00,972,1063,0.00,0.00,0,0
1621558263.967393,s1-eth1,5838924.00,64086.00,5903010.00,64086,5838924,1062.00,971.00,2033.00,971,1062,0.00,0.00,0,0
1621558263.967437,eth0,153.00,153.00,306.00,153,153,2.00,2.00,4.00,2,2,0.00,0.00,0,0
1621558263.967467,s2-eth2,64152.00,5821350.00,5885502.00,5821350,64152,972.00,1059.00,2031.00,1059,972,0.00,0.00,0,0
1621558263.967502,s1-eth2,64152.00,5840438.00,5904590.00,5840438,64152,972.00,1063.00,2035.00,1063,972,0.00,0.00,0,0
1621558263.967530,total,17700940.00,17683120.00,35384056.00,17683119,17700939,6106.00,6101.00,12207.00,6101,6106,0.00,0.00,0,0
1621558264.967762,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1621558264.967805,s3-eth1,5959112.00,65604.00,6024716.00,65604,5959112,1084.00,994.00,2078.00,994,1084,0.00,0.00,0,0
